025940	0022432
026403	0022208
027722	0024352
029620	0025410
033341	0027319
035285	0030621
038926	0035987
041333	0038729
045543	0045293
049220	0049129
056640	0054386
059677	0060979
067222	0072665
091242	0089342
120897	0125190
132585	0120181
142716	0148798
152301	0179547
178428	0208191
224131	0248696
271834	0291241
294398	0310570
275236	0299391
266106	0323874
291094	0400166
289070	0410950
310033	0448572
348869	0500552
431149	0545715
487003	0580144
535233	0616097
578344	0609479
616882	0656094
642863	0713174
703254	0801747
794387	0890771
851602	0955667
934453	1042726
933174	1099314
969867	1228485
1075321	1447837
1005654	1367165
978706	1397660
1020418	1514308
1161549	1771433
1286022	2000267
1457642	2219358
1653548	2358922
1841612	2550339
1583053	1966827
1853606	2348263
2127021	2675646
2218989	2755762
2279937	2758331
2343205	2851529
